x,y,,
8300,9.9,1,9.9
8200,9.8,1,9.8
8100,9.6,1,9.6
8000,9.6,1,9.6
7900,9.4,1,9.4
7800,9.3,1,9.3
7700,9,1,9
7600,8.9,1,8.9
7500,8.6,1,8.6
7400,8.3,1,8.3
7300,8,1,8
7200,7.7,1,7.7
7100,7.3,1,7.3
7000,6.9,1,6.9
6900,6.5,1,6.5
6800,5.8,1,5.8
6700,5.6,1,5.6
6600,5,1,5
6500,4.5,1,4.5
6400,3.9,1,3.9
6300,3.5,1,3.5
6200,2.7,1,2.7
6100,2.4,1,2.4
6000,1.8,1,1.8
5900,1.2,1,1.2
5800,0.6,1,0.6
5700,0,1,0
5600,-0.5,-1,0.5
5500,-1.1,-1,1.1
5400,-1.6,-1,1.6
5300,-2.2,-1,2.2
5200,-3,-1,3
5100,-3.3,-1,3.3
5000,-3.9,-1,3.9
4900,-4.4,-1,4.4
4800,-5.2,-1,5.2
4700,-5.7,-1,5.7
4600,-6,-1,6
4500,-6.6,-1,6.6
4400,-7,-1,7
4300,-7.5,-1,7.5
4200,-7.7,-1,7.7
4100,-8.1,-1,8.1
4000,-8.5,-1,8.5
3900,-8.8,-1,8.8
3800,-9.1,-1,9.1
3700,-9.2,-1,9.2
3600,-9.5,-1,9.5
3500,-9.7,-1,9.7
