y,x,,,,
9250,-9.9,-10.4,,-1,0.5
9150,-9.7,-10.2,,-1,0.5
9050,-9.6,-10.1,,-1,0.5
8950,-9.5,-10,,-1,0.5
8850,-9.3,-9.8,,-1,0.5
8750,-9,-9.5,,-1,0.5
8650,-8.8,-9.3,,-1,0.5
8550,-8.7,-9.2,,-1,0.5
8450,-8.3,-8.8,,-1,0.5
8350,-7.9,-8.4,,-1,0.5
8250,-7.6,-8.1,,-1,0.5
8150,-7.3,-7.8,,-1,0.5
8050,-7,-7.5,,-1,0.5
7950,-6.5,-7,,-1,0.5
7850,-5.9,-6.4,,-1,0.5
7750,-5.5,-6,,-1,0.5
7650,-5.1,-5.6,,-1,0.5
7550,-4.6,-5.1,,-1,0.5
7450,-4.2,-4.7,,-1,0.5
7350,-3.6,-4.1,,-1,0.5
7250,-3.1,-3.6,,-1,0.5
7150,-2.6,-3.1,,-1,0.5
7050,-2,-2.5,,-1,0.5
6950,-1.5,-2,,-1,0.5
6850,-0.8,-1.3,,-1,0.5
6750,-0.4,-0.9,,-1,0.5
6650,0.2,-0.3,,-1,0.5
6550,0.7,0.2,,1,0.5
6450,1.3,0.8,,1,0.5
6350,1.9,1.4,,1,0.5
6250,2.5,2,,1,0.5
6150,3,2.5,,1,0.5
6050,3.5,3,,1,0.5
5950,4.2,3.7,,1,0.5
5850,4.7,4.2,,1,0.5
5750,5.1,4.6,,1,0.5
5650,5.7,5.2,,1,0.5
5550,6.1,5.6,,1,0.5
5450,6.6,6.1,,1,0.5
5350,7.1,6.6,,1,0.5
5250,7.4,6.9,,1,0.5
5150,7.8,7.3,,1,0.5
5050,8.2,7.7,,1,0.5
4950,8.4,7.9,,1,0.5
4850,8.7,8.2,,1,0.5
4750,8.8,8.3,,1,0.5
4650,9.2,8.7,,1,0.5
4550,9.4,8.9,,1,0.5
4450,9.5,9,,1,0.5
4350,9.7,9.2,,1,0.5
4250,9.8,9.3,,1,0.5
4150,9.9,9.4,,1,0.5
4050,9.9,9.4,,1,0.5
3950,9.9,9.4,,1,0.5
3850,,,,,
3750,,,,,
3650,,,,,
3550,,,,,
3450,,,,,
